train_seed,condition,replicate_axis,velocity_seed,test_config_index,initial_temperature_k,plateau_temperature_k,temperature_rise_k,potential_drop_100fs_ev,kinetic_rise_100fs_ev,total_energy_change_100fs_ev,predicted_temperature_rise_k,maximum_temperature_k,time_to_temperature_threshold_fs,energy_drift_mev_per_atom,completed_1ps
0,water_absolute,velocity,0,0,303.807424861,1746.50566088,1442.69823602,13.04296875,13.0154490385,-0.0275197114643,525.546592335,1935.83642107,8.00900737663,-0.0999683849348,1
0,water_absolute,velocity,1,0,299.938104848,1599.12861635,1299.1905115,11.638671875,11.6285429625,-0.0101289124977,468.962585164,1777.45464496,10.0256655726,0.0220034576728,1
0,water_absolute,velocity,2,0,323.801453683,1624.12494392,1300.32349024,10.9296875,10.9206807793,-0.00900672074204,440.395137872,1833.28195159,4.75620406123,-0.174862936281,1
0,water_absolute,velocity,3,0,311.085355082,1637.28155072,1326.19619564,13.078125,13.0737465434,-0.00437845664055,526.963159969,1852.89173534,4.30312522575,-0.0847245381882,1
0,water_absolute,velocity,4,0,283.051208795,1804.43503934,1521.38383055,14.169921875,14.1513337332,-0.0185881417638,570.955454835,2086.54870249,8.45891886272,0.0137354570408,1
0,water_absolute,config,0,1,303.807424861,1107.13546724,803.328042382,9.318359375,9.31083372656,-0.00752564843788,375.469121298,1254.70634057,1.68059029502,-0.00651041640746,1
0,water_absolute,config,0,2,303.807424861,691.049040994,387.241616132,3.232421875,3.2273590457,-0.00506282929928,130.245524156,760.861800538,420.902935416,0.0137970192213,1
0,water_absolute,config,0,3,303.807424861,1177.73737484,873.929949977,9.716796875,9.70231062476,-0.0144862502384,391.523554487,1325.02399905,1.16236566161,-0.0624982656063,1
0,water_absolute,config,0,4,303.807424861,1406.02950396,1102.2220791,15.89453125,15.8917773193,-0.00275393069751,640.445967119,1558.00579067,0.895510218244,-0.0487641671612,1
0,water_absolute,config,0,5,303.807424861,1226.13778934,922.33036448,10.62109375,10.6103602467,-0.0107335032699,427.96082197,1363.4153855,1.2696575039,-0.0837341985213,1
0,water_absolute+momentum,velocity,0,0,303.807424861,1063.39350211,759.586077244,11.76171875,11.7314035132,-0.0303152368288,473.920571884,1165.81240946,4.44647470934,-0.13994888864,1
0,water_absolute+momentum,velocity,1,0,299.938104848,1080.01283539,780.07473054,13.55859375,13.5345588614,-0.0240348886073,546.322917639,1206.93848127,7.87136512295,-0.088976339877,1
0,water_absolute+momentum,velocity,2,0,323.801453683,1075.63477701,751.833323329,12.7734375,12.7612614101,-0.0121760899419,514.686240472,1179.47302786,5.20996911935,-0.118618007624,1
0,water_absolute+momentum,velocity,3,0,311.085355082,1100.53330963,789.447954548,15.486328125,15.4777290104,-0.0085991146334,623.998042921,1216.52377374,4.07994353462,-0.0621161751345,1
0,water_absolute+momentum,velocity,4,0,283.051208795,1041.64621628,758.595007488,12.46875,12.4647950632,-0.00395493684482,502.409320974,1161.02019353,5.84633749402,-0.0539447736022,1
0,water_absolute+momentum,config,0,1,303.807424861,773.319339907,469.511915046,9.798828125,9.80388354344,0.00505541844177,394.828878968,840.315844785,1.57936241423,0.0541701270246,1
0,water_absolute+momentum,config,0,2,303.807424861,578.48691941,274.679494549,4.482421875,4.47852860717,-0.00389326782897,180.612373377,635.336837226,558.511283375,-0.0108876396894,1
0,water_absolute+momentum,config,0,3,303.807424861,874.303765361,570.4963405,9.767578125,9.73817950014,-0.029398624858,393.569707737,983.736513028,1.1587475962,-0.101026350383,1
0,water_absolute+momentum,config,0,4,303.807424861,1057.3044291,753.497004236,14.25390625,14.2514142757,-0.00249197427911,574.339477517,1191.88011421,0.954447984565,0.00495215836812,1
0,water_absolute+momentum,config,0,5,303.807424861,859.133097762,555.3256729,9.677734375,9.67430966979,-0.00342470521355,389.949590449,988.800530194,1.33564462044,-0.0570479467683,1
1,water_absolute,velocity,0,0,303.807424861,754.64318695,450.835762089,7.703125,7.69693968597,-0.0061853140287,310.385708321,833.130719955,6.85821475203,-0.00340340964537,1
1,water_absolute,velocity,1,0,299.938104848,762.288665814,462.350560966,8.576171875,8.58403041764,0.00785854263813,345.563804574,827.775487968,11.5778862702,0.0352909949015,1
1,water_absolute,velocity,2,0,323.801453683,779.202335828,455.400882145,9.42578125,9.42890956446,0.00312831445626,379.797522403,896.883784531,12.17953069,0.0435975921202,1
1,water_absolute,velocity,3,0,311.085355082,792.54867015,481.463315069,8.69140625,8.69716740769,0.00576115769218,350.206998486,885.499435186,10.0611244878,0.00438909728473,1
1,water_absolute,velocity,4,0,283.051208795,772.250418455,489.199209659,8.74609375,8.74492403909,-0.00116971090756,352.41054814,862.663480009,11.3896054524,0.0418184482858,1
1,water_absolute,config,0,1,303.807424861,622.554223804,318.746798943,5.38671875,5.37640320368,-0.0103155463185,217.04964086,737.025365526,1.66232805649,-0.0547384169636,1
1,water_absolute,config,0,2,303.807424861,421.531168417,117.723743556,2.763671875,2.77756100629,0.0138891312854,111.357955698,478.954123238,,0.0194406526172,1
1,water_absolute,config,0,3,303.807424861,671.289948163,367.482523302,9.271484375,9.26425777616,-0.00722659883832,373.580364453,762.379446904,1.24039892885,0.0128478686937,1
1,water_absolute,config,0,4,303.807424861,837.11269486,533.305269999,11.01171875,11.0039083655,-0.00781038453351,443.700462352,965.515608249,0.900027598895,-0.0687687028555,1
1,water_absolute,config,0,5,303.807424861,666.097508567,362.290083706,8.642578125,8.64748619648,0.00490807148162,348.239543439,777.078646142,1.43409613338,-0.0308346672379,1
1,water_absolute+momentum,velocity,0,0,303.807424861,707.077292119,403.269867258,9.392578125,9.39266449698,8.63719797053e-05,378.459652971,802.742273629,5.73306511675,0.0443624155082,1
1,water_absolute+momentum,velocity,1,0,299.938104848,689.987008032,390.048903184,10.76171875,10.7700111841,0.00829243407861,433.627092508,779.808940305,8.90501599725,0.0563800661742,1
1,water_absolute+momentum,velocity,2,0,323.801453683,736.427109037,412.625655354,9.583984375,9.58858104268,0.00459666768074,386.172076758,831.168784285,8.81240642066,0.0650062755388,1
1,water_absolute+momentum,velocity,3,0,311.085355082,701.416461756,390.331106674,10.208984375,10.222375955,0.0133915800143,411.355501368,809.572103492,5.41554513321,0.0317338632954,1
